Index,Value
0,93.459
1,93.3788
2,112.731
3,104.279
4,84.4072
5,99.8749
6,85.6237
7,103.554
8,111.548
9,96.1567
10,86.2889
11,88.9863
12,107.389
13,102.435
14,106.631
15,120.417
16,100.249
17,89.7214
18,90.2209
19,90.6043
20,89.6671
21,95.5828
22,98.7404
23,86.3158
24,94.4103
25,90.6898
26,118.904
27,103.91
28,94.2399
29,112.133
30,91.2457
31,106.686
32,92.8518
33,109.589
34,103.503
35,105.715
36,86.2368
37,87.7481
38,89.2309
39,87.7279
40,90.6158
41,119.388
42,85.0325
43,86.6439
44,84.0058
45,90.2708
46,94.0215
47,98.45
48,110.13
49,93.2136
50,99.1905
51,86.1859
52,2181.58
53,95.2618
54,98.2788
55,91.2498
56,89.9082
57,109.869
58,87.8017
59,119.401
60,110.171
61,122.722
62,90.3207
63,85.8256
64,109.957
65,92.554
66,86.4767
67,90.268
68,97.0466
69,95.8923
70,100.573
71,84.1365
72,84.5269
73,102.931
74,114.925
75,98.373
76,90.9644
77,90.4684
78,98.0773
79,98.7655
80,92.3768
81,118.633
82,91.6728
83,85.5434
84,87.2789
85,85.5421
86,97.6976
87,87.986
88,91.7606
89,112.36
90,97.6643
91,99.4729
92,111.665
93,97.3267
94,95.2473
95,116.837
96,93.3785
97,87.3367
98,93.2843
99,88.8429
100,98.1216
101,95.6216
102,87.471
103,88.5851
104,101.583
105,95.2747
106,111.964
107,99.9105
108,116.046
109,2114.45
110,90.4894
111,99.4046
112,99.8494
113,85.1471
114,84.4025
115,91.476
116,96.6441
117,96.557
118,86.2132
119,93.8663
120,104.451
121,94.6688
122,86.8311
123,86.4112
124,111.344
125,93.5403
126,99.6147
127,94.453
128,98.5551
129,128.7
130,98.3343
131,119.681
132,95.2491
133,91.6563
134,91.1521
135,110.983
136,86.139
137,110.124
138,89.4776
139,98.0152
140,125.242
141,105.852
142,109.989
143,85.4478
144,116.753
145,117.328
146,128.804
147,89.4789
148,97.8343
149,93.0574
150,108.955
151,90.6291
152,94.2296
153,96.6019
154,97.3588
155,88.082
156,87.8528
157,95.3375
158,88.7463
159,85.7688
160,87.1769
161,89.4223
162,94.2417
163,2857.13
164,91.9287
165,92.7234
166,116.408
167,87.7171
168,86.0879
169,95.8204
170,117.733
171,114.868
172,105.658
173,100.837
174,85.1594
175,87.128
176,102.018
177,94.6153
178,93.3779
179,96.2128
180,98.651
181,99.4123
182,98.4658
183,88.2066
184,88.2609
185,89.6728
186,110.293
187,91.8866
188,91.6701
189,94.3234
190,105.34
191,95.3403
192,113.051
193,90.8295
194,109.73
195,98.105
196,87.453
197,89.141
198,87.0828
199,89.8254
200,94.4689
201,96.5934
202,102.063
203,103.667
204,86.1397
205,89.6114
206,91.2842
207,93.3725
208,94.1417
209,90.8418
210,89.7507
211,104.272
212,85.7187
213,86.8551
214,91.1448
215,96.2711
216,85.8592
217,88.9141
218,99.5373
219,95.805
220,91.7677
221,2964.9
222,88.2452
223,98.3397
224,90.6456
225,110.3
226,97.2841
227,101.535
228,108.56
229,98.4204
230,85.6595
231,96.289
232,90.7578
233,125.473
234,90.4423
235,89.3731
236,97.5096
237,93.0063
238,86.1552
239,94.3477
240,132.349
241,99.1586
242,106.314
243,89.7148
244,94.552
245,100.004
246,108.567
247,97.0942
248,91.623
249,87.2977
250,98.9648
251,92.3604
252,94.3484
253,102.5
254,95.2118
255,87.8268
256,88.8228
257,89.2859
258,112.638
259,119.283
260,87.8771
261,88.8875
262,95.3994
263,126.865
264,101.572
265,86.4116
266,99.5356
267,89.7056
268,105.674
269,96.9959
270,86.4645
271,96.293
272,111.514
273,2791.28
274,113.545
275,94.9491
276,98.1417
277,123.658
278,87.7997
279,117.859
280,90.2582
281,89.7138
282,84.8998
283,93.9239
284,87.9702
285,89.1928
286,93.6846
287,94.0534
288,91.9384
289,86.8268
290,99.5227
291,90.5746
292,84.2718
293,98.9202
294,97.4411
295,110.812
296,107.961
297,96.3397
298,107.517
299,91.2686
300,90.3097
301,97.2108
302,91.3165
303,83.4555
304,92.9043
305,90.9176
306,92.5509
307,94.6346
308,103.611
309,88.1091
310,89.4444
311,96.3972
312,86.2361
313,97.9379
314,114.598
315,92.6423
316,88.6396
317,106.23
318,107.361
319,87.1022
320,99.1006
321,100.738
322,90.8317
323,95.0254
324,86.3266
325,88.8643
326,86.3863
327,2035.91
328,88.1282
329,94.0129
330,89.5608
331,98.3385
332,108.633
333,92.7436
334,92.1552
335,121.135
336,94.4466
337,117.373
338,99.5899
339,89.2925
340,116.357
341,103.369
342,124.086
343,92.2229
344,95.3348
345,102.128
346,90.8186
347,88.4224
348,94.1479
349,88.7215
350,88.3636
351,95.2236
352,102.762
353,87.5712
354,104.71
355,114.637
356,94.0351
357,118.85
358,102.507
359,91.7602
360,87.8463
361,120.433
362,100.692
363,107.635
364,91.1515
365,108.646
366,119.369
367,93.2857
368,90.4604
369,117.045
370,97.8573
371,88.7787
372,93.8127
373,104.188
374,93.4083
375,109.452
376,103.698
377,101.036
378,2140.24
379,100.475
380,99.6024
381,93.8834
382,93.2111
383,96.2352
384,113.43
385,89.6313
386,99.6582
387,90.5464
388,88.4745
389,92.3203
390,111.513
391,88.9251
392,112.934
393,87.7703
394,124.588
395,120.038
396,113.572
397,87.0074
398,85.4159
399,97.2066
400,93.3435
401,118.801
402,91.0613
403,128.812
404,95.3629
405,90.8141
406,96.0864
